zeit_iso;zeit_unix;bmp_time;"bmp_pressure [hPa]"
"2026-07-31 11:58:38";1785491918.879;2.8469563802083;991.31042277018
"2026-07-31 11:58:39";1785491919.375;0.81998952229818;991.32063293457
"2026-07-31 11:58:39";1785491919.87;1.8334986368815;991.30990600586
"2026-07-31 11:58:40";1785491920.364;2.8469772338867;991.30537414551
"2026-07-31 11:58:40";1785491920.859;3.8604431152344;991.30891418457
"2026-07-31 11:58:41";1785491921.353;4.8738733927409;991.3072865804
"2026-07-31 11:58:41";1785491921.848;5.8450261896307;991.31112948331
"2026-07-31 11:58:42";1785491922.342;6.8161977132161;991.31069946289
"2026-07-31 11:58:42";1785491922.837;7.8718426044171;991.3110539363
"2026-07-31 11:58:43";1785491923.331;8.8853260387074;991.3119839755
"2026-07-31 11:58:43";1785491923.826;9.8566309611003;991.3147277832
"2026-07-31 11:58:44";1785491924.163;0.81998952229818;991.32063293457
"2026-07-31 11:58:44";1785491924.501;1.8334986368815;991.30990600586
"2026-07-31 11:58:44";1785491924.839;2.8469772338867;991.30537414551
"2026-07-31 11:58:45";1785491925.176;3.8604431152344;991.30891418457
"2026-07-31 11:58:45";1785491925.514;4.8738733927409;991.3072865804
"2026-07-31 11:58:45";1785491925.852;5.8450261896307;991.31112948331
"2026-07-31 11:58:46";1785491926.189;6.8161977132161;991.31069946289
"2026-07-31 11:58:46";1785491926.527;7.8718426044171;991.3110539363
"2026-07-31 11:58:46";1785491926.865;8.8853260387074;991.3119839755
"2026-07-31 11:58:47";1785491927.202;9.8566309611003;991.3147277832
"2026-07-31 11:58:47";1785491927.54;10.870165506999;991.31517537435
"2026-07-31 11:58:47";1785491927.878;11.88370513916;991.3138478597
"2026-07-31 11:58:48";1785491928.215;12.897112528483;991.31051635742
"2026-07-31 11:58:48";1785491928.553;13.910530090332;991.31193033854
"2026-07-31 11:58:48";1785491928.891;14.923901875814;991.31134541829
"2026-07-31 11:58:49";1785491929.337;0.81998952229818;991.32063293457
"2026-07-31 11:58:49";1785491929.784;1.8334986368815;991.30990600586
"2026-07-31 11:58:50";1785491930.23;2.8469772338867;991.30537414551
"2026-07-31 11:58:50";1785491930.676;3.8604431152344;991.30891418457
"2026-07-31 11:58:51";1785491931.123;4.8738733927409;991.3072865804
"2026-07-31 11:58:51";1785491931.569;5.8450261896307;991.31112948331
"2026-07-31 11:58:52";1785491932.016;6.8161977132161;991.31069946289
"2026-07-31 11:58:52";1785491932.462;7.8718426044171;991.3110539363
"2026-07-31 11:58:52";1785491932.908;8.8853260387074;991.3119839755
"2026-07-31 11:58:53";1785491933.355;9.8566309611003;991.3147277832
"2026-07-31 11:58:53";1785491933.801;10.870165506999;991.31517537435
"2026-07-31 11:58:54";1785491934.247;11.88370513916;991.3138478597
"2026-07-31 11:58:54";1785491934.694;12.897112528483;991.31051635742
"2026-07-31 11:58:55";1785491935.14;13.910530090332;991.31193033854
"2026-07-31 11:58:55";1785491935.587;14.923901875814;991.31134541829
"2026-07-31 11:58:56";1785491936.033;15.937362670898;991.31719462077
"2026-07-31 11:58:56";1785491936.479;16.95081837972;991.31686401367
"2026-07-31 11:58:56";1785491936.926;17.922005393288;991.3115234375
"2026-07-31 11:58:57";1785491937.372;18.935373159555;991.30899752103
"2026-07-31 11:58:57";1785491937.819;19.990964253743;991.30895996094
"2026-07-31 11:58:58";1785491938.265;20.962141557173;991.30834960938
"2026-07-31 11:58:58";1785491938.711;21.933369954427;991.30953979492
"2026-07-31 11:58:59";1785491939.158;22.989170954778;991.31826077975
"2026-07-31 11:58:59";1785491939.604;24.0026883212;991.32597212358
"2026-07-31 11:59:00";1785491940.05;24.974052429199;991.32494099935
"2026-07-31 11:59:00";1785491940.111;0.81998952229818;991.32063293457
"2026-07-31 11:59:00";1785491940.171;1.8334986368815;991.30990600586
"2026-07-31 11:59:00";1785491940.262;3.3537101745605;991.30714416504
"2026-07-31 11:59:00";1785491940.352;4.8738733927409;991.3072865804
"2026-07-31 11:59:00";1785491940.412;5.8450261896307;991.31112948331
"2026-07-31 11:59:00";1785491940.473;6.8161977132161;991.31069946289
"2026-07-31 11:59:00";1785491940.563;8.3785843215623;991.3115189559
"2026-07-31 11:59:00";1785491940.654;9.8566309611003;991.3147277832
"2026-07-31 11:59:00";1785491940.714;10.870165506999;991.31517537435
"2026-07-31 11:59:00";1785491940.774;11.88370513916;991.3138478597
"2026-07-31 11:59:00";1785491940.835;12.897112528483;991.31051635742
"2026-07-31 11:59:00";1785491940.925;14.417215983073;991.31163787842
"2026-07-31 11:59:01";1785491941.015;15.937362670898;991.31719462077
"2026-07-31 11:59:01";1785491941.076;16.95081837972;991.31686401367
"2026-07-31 11:59:01";1785491941.136;17.922005393288;991.3115234375
"2026-07-31 11:59:01";1785491941.227;19.463168706649;991.30897874099
"2026-07-31 11:59:01";1785491941.351;0.81998952229818;991.32063293457
"2026-07-31 11:59:01";1785491941.445;1.8334986368815;991.30990600586
"2026-07-31 11:59:01";1785491941.539;2.8469772338867;991.30537414551
"2026-07-31 11:59:01";1785491941.633;3.8604431152344;991.30891418457
"2026-07-31 11:59:01";1785491941.727;4.8738733927409;991.3072865804
"2026-07-31 11:59:01";1785491941.821;5.8450261896307;991.31112948331
"2026-07-31 11:59:01";1785491941.915;6.8161977132161;991.31069946289
"2026-07-31 11:59:02";1785491942.009;7.8718426044171;991.3110539363
"2026-07-31 11:59:02";1785491942.104;8.8853260387074;991.3119839755
"2026-07-31 11:59:02";1785491942.198;9.8566309611003;991.3147277832
"2026-07-31 11:59:02";1785491942.292;10.870165506999;991.31517537435
"2026-07-31 11:59:02";1785491942.386;11.88370513916;991.3138478597
"2026-07-31 11:59:02";1785491942.48;12.897112528483;991.31051635742
"2026-07-31 11:59:02";1785491942.574;13.910530090332;991.31193033854
"2026-07-31 11:59:02";1785491942.668;14.923901875814;991.31134541829
"2026-07-31 11:59:02";1785491942.762;15.937362670898;991.31719462077
"2026-07-31 11:59:02";1785491942.856;16.95081837972;991.31686401367
"2026-07-31 11:59:02";1785491942.95;17.922005393288;991.3115234375
"2026-07-31 11:59:03";1785491943.044;18.935373159555;991.30899752103
"2026-07-31 11:59:03";1785491943.139;19.990964253743;991.30895996094
"2026-07-31 11:59:03";1785491943.233;20.962141557173;991.30834960938
"2026-07-31 11:59:03";1785491943.327;21.933369954427;991.30953979492
"2026-07-31 11:59:03";1785491943.421;22.989170954778;991.31826077975
"2026-07-31 11:59:03";1785491943.515;24.0026883212;991.32597212358
"2026-07-31 11:59:03";1785491943.609;24.974052429199;991.32494099935
"2026-07-31 11:59:03";1785491943.703;25.987584431966;991.32532246908
"2026-07-31 11:59:03";1785491943.797;27.043285663311;991.33182936448
"2026-07-31 11:59:03";1785491943.891;28.09895324707;991.32986450195
"2026-07-31 11:59:03";1785491943.985;29.112566630046;991.3389638265
"2026-07-31 11:59:04";1785491944.08;30.12622833252;991.33941141764
"2026-07-31 11:59:04";1785491944.226;0.81998952229818;991.32063293457
"2026-07-31 11:59:04";1785491944.373;1.8334986368815;991.30990600586
"2026-07-31 11:59:04";1785491944.52;2.8469772338867;991.30537414551
"2026-07-31 11:59:04";1785491944.667;3.8604431152344;991.30891418457
"2026-07-31 11:59:04";1785491944.814;4.8738733927409;991.3072865804
"2026-07-31 11:59:04";1785491944.961;5.8450261896307;991.31112948331
"2026-07-31 11:59:05";1785491945.108;6.8161977132161;991.31069946289
